reporting_unit,reporting_unit_type,state,peer_group,financial_year,year,patient_cohort,number_of_presentations,number_of_presentations_flag,median_time,p90_time,peer_group_avg_p90_time
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023-24,2023,Subsequently admitted patients,10645.0,reported,8 hrs 22 mins,22 hrs 8 mins,22 hrs 4 mins
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2024-25,2024,Subsequently admitted patients,12994.0,reported,7 hrs 42 mins,23 hrs 2 mins,22 hrs 17 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011-12,2011,All patients,15639.0,reported,1 hrs 24 mins,4 hrs 18 mins,5 hrs 19 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012-13,2012,All patients,15370.0,reported,1 hrs 27 mins,4 hrs 20 mins,5 hrs 13 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013-14,2013,All patients,15469.0,reported,1 hrs 21 mins,3 hrs 59 mins,5 hrs 10 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014-15,2014,All patients,16295.0,reported,1 hrs 30 mins,4 hrs 21 mins,5 hrs 9 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015-16,2015,All patients,16413.0,reported,1 hrs 41 mins,4 hrs 40 mins,5 hrs 13 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016-17,2016,All patients,16237.0,reported,1 hrs 59 mins,5 hrs 7 mins,5 hrs 20 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017-18,2017,All patients,15944.0,reported,2 hrs 4 mins,5 hrs 22 mins,5 hrs 24 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018-19,2018,All patients,16594.0,reported,2 hrs 10 mins,5 hrs 22 mins,5 hrs 36 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019-20,2019,All patients,16098.0,reported,2 hrs 29 mins,6 hrs 2 mins,5 hrs 53 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020-21,2020,All patients,17323.0,reported,2 hrs 17 mins,6 hrs 1 mins,6 hrs 20 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021-22,2021,All patients,17825.0,reported,2 hrs 37 mins,6 hrs 35 mins,6 hrs 52 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022-23,2022,All patients,19240.0,reported,2 hrs 52 mins,7 hrs 48 mins,7 hrs 23 mins
