reporting_unit,reporting_unit_type,state,peer_group,financial_year,year,patient_cohort,number_of_presentations,number_of_presentations_flag,median_time,p90_time,peer_group_avg_p90_time
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2016-17,2016,Subsequently admitted patients,3484.0,reported,3 hrs 50 mins,7 hrs 34 mins,9 hrs 14 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2017-18,2017,Subsequently admitted patients,3196.0,reported,3 hrs 44 mins,7 hrs 5 mins,9 hrs 41 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2018-19,2018,Subsequently admitted patients,3384.0,reported,3 hrs 44 mins,7 hrs 25 mins,10 hrs 2 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2019-20,2019,Subsequently admitted patients,3462.0,reported,3 hrs 47 mins,7 hrs 7 mins,9 hrs 36 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2020-21,2020,Subsequently admitted patients,3239.0,reported,3 hrs 54 mins,7 hrs 37 mins,10 hrs 3 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2021-22,2021,Subsequently admitted patients,2978.0,reported,3 hrs 58 mins,8 hrs 2 mins,13 hrs 2 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2022-23,2022,Subsequently admitted patients,3166.0,reported,4 hrs 7 mins,8 hrs 51 mins,17 hrs 4 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2023-24,2023,Subsequently admitted patients,3474.0,reported,4 hrs 6 mins,8 hrs 50 mins,17 hrs 55 mins
Mercy Hospital for Women,Hospital,Vic,Medium metropolitan hospitals,2024-25,2024,Subsequently admitted patients,3422.0,reported,3 hrs 58 mins,8 hrs 7 mins,17 hrs 41 mins
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2018-19,2018,All patients,62376.0,reported,3 hrs 12 mins,7 hrs 3 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2019-20,2019,All patients,62136.0,reported,3 hrs 15 mins,7 hrs 26 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2020-21,2020,All patients,63941.0,reported,3 hrs 32 mins,8 hrs 44 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2021-22,2021,All patients,67926.0,reported,3 hrs 53 mins,9 hrs 35 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2022-23,2022,All patients,70217.0,reported,4 hrs 3 mins,10 hrs 48 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2023-24,2023,All patients,72443.0,reported,4 hrs 11 mins,10 hrs 58 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2024-25,2024,All patients,72988.0,reported,4 hrs 20 mins,12 hrs 3 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2018-19,2018,Not subsequently admitted patients,44474.0,reported,2 hrs 55 mins,6 hrs 11 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2019-20,2019,Not subsequently admitted patients,42797.0,reported,2 hrs 59 mins,6 hrs 30 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2020-21,2020,Not subsequently admitted patients,44790.0,reported,3 hrs 10 mins,7 hrs 15 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2021-22,2021,Not subsequently admitted patients,49364.0,reported,3 hrs 32 mins,8 hrs 0 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2022-23,2022,Not subsequently admitted patients,50467.0,reported,3 hrs 40 mins,8 hrs 28 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2023-24,2023,Not subsequently admitted patients,52092.0,reported,3 hrs 38 mins,8 hrs 26 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2024-25,2024,Not subsequently admitted patients,53505.0,reported,3 hrs 44 mins,8 hrs 48 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2018-19,2018,Subsequently admitted patients,17902.0,reported,3 hrs 58 mins,8 hrs 53 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2019-20,2019,Subsequently admitted patients,19339.0,reported,3 hrs 57 mins,9 hrs 13 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2020-21,2020,Subsequently admitted patients,19151.0,reported,4 hrs 41 mins,11 hrs 42 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2021-22,2021,Subsequently admitted patients,18562.0,reported,5 hrs 20 mins,13 hrs 20 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2022-23,2022,Subsequently admitted patients,19750.0,reported,5 hrs 48 mins,15 hrs 58 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2023-24,2023,Subsequently admitted patients,20351.0,reported,6 hrs 27 mins,16 hrs 5 mins,
Mercy Public Hospital Inc. (Vic),Local Hospital Network,Vic,,2024-25,2024,Subsequently admitted patients,19483.0,reported,7 hrs 11 mins,19 hrs 51 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2011-12,2011,All patients,27332.0,reported,2 hrs 29 mins,6 hrs 14 mins,8 hrs 40 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2012-13,2012,All patients,27849.0,reported,2 hrs 22 mins,7 hrs 48 mins,8 hrs 7 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2013-14,2013,All patients,28988.0,reported,2 hrs 7 mins,7 hrs 14 mins,7 hrs 33 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2014-15,2014,All patients,28079.0,reported,2 hrs 12 mins,7 hrs 29 mins,7 hrs 17 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2015-16,2015,All patients,29731.0,reported,2 hrs 17 mins,7 hrs 35 mins,7 hrs 27 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2016-17,2016,All patients,32088.0,reported,2 hrs 20 mins,8 hrs 6 mins,7 hrs 35 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2017-18,2017,All patients,34018.0,reported,2 hrs 30 mins,8 hrs 20 mins,7 hrs 50 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2018-19,2018,All patients,33907.0,reported,2 hrs 43 mins,10 hrs 48 mins,8 hrs 7 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2018-19,2018,All patients,33907.0,reported,2 hrs 43 mins,10 hrs 48 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2019-20,2019,All patients,31005.0,reported,3 hrs 7 mins,11 hrs 7 mins,8 hrs 8 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2019-20,2019,All patients,31005.0,reported,3 hrs 7 mins,11 hrs 7 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2020-21,2020,All patients,31739.0,reported,3 hrs 15 mins,11 hrs 35 mins,8 hrs 47 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2020-21,2020,All patients,31739.0,reported,3 hrs 15 mins,11 hrs 35 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2021-22,2021,All patients,29549.0,reported,3 hrs 33 mins,12 hrs 0 mins,10 hrs 17 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2021-22,2021,All patients,29549.0,reported,3 hrs 33 mins,12 hrs 0 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2022-23,2022,All patients,33268.0,reported,3 hrs 31 mins,12 hrs 46 mins,12 hrs 17 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2022-23,2022,All patients,33268.0,reported,3 hrs 31 mins,12 hrs 46 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2023-24,2023,All patients,32167.0,reported,3 hrs 39 mins,13 hrs 33 mins,12 hrs 23 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2023-24,2023,All patients,32167.0,reported,3 hrs 39 mins,13 hrs 33 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2024-25,2024,All patients,31636.0,reported,3 hrs 50 mins,15 hrs 57 mins,13 hrs 31 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2024-25,2024,All patients,31636.0,reported,3 hrs 50 mins,15 hrs 57 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2011-12,2011,Not subsequently admitted patients,21845.0,reported,2 hrs 6 mins,5 hrs 18 mins,5 hrs 21 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2012-13,2012,Not subsequently admitted patients,23636.0,reported,2 hrs 0 mins,5 hrs 33 mins,5 hrs 17 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2013-14,2013,Not subsequently admitted patients,24384.0,reported,1 hrs 45 mins,4 hrs 44 mins,4 hrs 55 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2014-15,2014,Not subsequently admitted patients,23154.0,reported,1 hrs 50 mins,4 hrs 48 mins,4 hrs 45 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2015-16,2015,Not subsequently admitted patients,23304.0,reported,1 hrs 52 mins,4 hrs 23 mins,4 hrs 56 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2016-17,2016,Not subsequently admitted patients,25886.0,reported,1 hrs 57 mins,4 hrs 39 mins,5 hrs 5 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2017-18,2017,Not subsequently admitted patients,27613.0,reported,2 hrs 7 mins,5 hrs 10 mins,5 hrs 6 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2018-19,2018,Not subsequently admitted patients,27717.0,reported,2 hrs 16 mins,5 hrs 52 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2018-19,2018,Not subsequently admitted patients,27717.0,reported,2 hrs 16 mins,5 hrs 52 mins,5 hrs 19 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2019-20,2019,Not subsequently admitted patients,23620.0,reported,2 hrs 33 mins,6 hrs 28 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2019-20,2019,Not subsequently admitted patients,23620.0,reported,2 hrs 33 mins,6 hrs 28 mins,5 hrs 31 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2020-21,2020,Not subsequently admitted patients,23364.0,reported,2 hrs 39 mins,6 hrs 49 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2020-21,2020,Not subsequently admitted patients,23364.0,reported,2 hrs 39 mins,6 hrs 49 mins,5 hrs 52 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2021-22,2021,Not subsequently admitted patients,22676.0,reported,2 hrs 55 mins,7 hrs 15 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2021-22,2021,Not subsequently admitted patients,22676.0,reported,2 hrs 55 mins,7 hrs 15 mins,6 hrs 39 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2022-23,2022,Not subsequently admitted patients,25738.0,reported,2 hrs 55 mins,7 hrs 15 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2022-23,2022,Not subsequently admitted patients,25738.0,reported,2 hrs 55 mins,7 hrs 15 mins,7 hrs 18 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2023-24,2023,Not subsequently admitted patients,23054.0,reported,3 hrs 2 mins,7 hrs 51 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2023-24,2023,Not subsequently admitted patients,23054.0,reported,3 hrs 2 mins,7 hrs 51 mins,7 hrs 22 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2024-25,2024,Not subsequently admitted patients,22695.0,reported,3 hrs 12 mins,8 hrs 12 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2024-25,2024,Not subsequently admitted patients,22695.0,reported,3 hrs 12 mins,8 hrs 12 mins,7 hrs 45 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2011-12,2011,Subsequently admitted patients,5487.0,reported,4 hrs 28 mins,8 hrs 2 mins,16 hrs 22 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2012-13,2012,Subsequently admitted patients,4213.0,reported,6 hrs 48 mins,15 hrs 2 mins,15 hrs 22 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2013-14,2013,Subsequently admitted patients,4604.0,reported,6 hrs 41 mins,14 hrs 50 mins,14 hrs 15 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2014-15,2014,Subsequently admitted patients,4925.0,reported,6 hrs 44 mins,14 hrs 43 mins,13 hrs 15 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2015-16,2015,Subsequently admitted patients,6427.0,reported,5 hrs 50 mins,16 hrs 35 mins,13 hrs 0 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2016-17,2016,Subsequently admitted patients,6202.0,reported,6 hrs 46 mins,20 hrs 4 mins,12 hrs 50 mins
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2017-18,2017,Subsequently admitted patients,6405.0,reported,6 hrs 48 mins,18 hrs 39 mins,13 hrs 48 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2018-19,2018,Subsequently admitted patients,6190.0,reported,9 hrs 24 mins,22 hrs 37 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2018-19,2018,Subsequently admitted patients,6190.0,reported,9 hrs 24 mins,22 hrs 37 mins,14 hrs 18 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2019-20,2019,Subsequently admitted patients,7385.0,reported,7 hrs 32 mins,21 hrs 20 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2019-20,2019,Subsequently admitted patients,7385.0,reported,7 hrs 32 mins,21 hrs 20 mins,13 hrs 37 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2020-21,2020,Subsequently admitted patients,8375.0,reported,7 hrs 4 mins,20 hrs 42 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2020-21,2020,Subsequently admitted patients,8375.0,reported,7 hrs 4 mins,20 hrs 42 mins,15 hrs 37 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2021-22,2021,Subsequently admitted patients,6873.0,reported,8 hrs 28 mins,22 hrs 13 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2021-22,2021,Subsequently admitted patients,6873.0,reported,8 hrs 28 mins,22 hrs 13 mins,19 hrs 8 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2022-23,2022,Subsequently admitted patients,7530.0,reported,8 hrs 37 mins,23 hrs 14 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2022-23,2022,Subsequently admitted patients,7530.0,reported,8 hrs 37 mins,23 hrs 14 mins,22 hrs 25 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2023-24,2023,Subsequently admitted patients,9113.0,reported,6 hrs 58 mins,23 hrs 31 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2023-24,2023,Subsequently admitted patients,9113.0,reported,6 hrs 58 mins,23 hrs 31 mins,22 hrs 4 mins
Mildura Base Hospital,Local Hospital Network,Vic,,2024-25,2024,Subsequently admitted patients,8941.0,reported,7 hrs 19 mins,25 hrs 35 mins,
Mildura Base Hospital,Hospital,Vic,Large regional hospitals,2024-25,2024,Subsequently admitted patients,8941.0,reported,7 hrs 19 mins,25 hrs 35 mins,22 hrs 17 mins
Monash Health,Local Hospital Network,Vic,,2018-19,2018,All patients,231857.0,reported,3 hrs 32 mins,10 hrs 6 mins,
Monash Health,Local Hospital Network,Vic,,2019-20,2019,All patients,216976.0,reported,3 hrs 41 mins,10 hrs 35 mins,
Monash Health,Local Hospital Network,Vic,,2020-21,2020,All patients,219572.0,reported,3 hrs 34 mins,10 hrs 14 mins,
Monash Health,Local Hospital Network,Vic,,2021-22,2021,All patients,238405.0,reported,4 hrs 3 mins,11 hrs 59 mins,
Monash Health,Local Hospital Network,Vic,,2022-23,2022,All patients,246703.0,reported,4 hrs 24 mins,14 hrs 9 mins,
Monash Health,Local Hospital Network,Vic,,2023-24,2023,All patients,260409.0,reported,4 hrs 9 mins,13 hrs 42 mins,
Monash Health,Local Hospital Network,Vic,,2024-25,2024,All patients,270984.0,reported,4 hrs 11 mins,14 hrs 5 mins,
Monash Health,Local Hospital Network,Vic,,2018-19,2018,Not subsequently admitted patients,132973.0,reported,2 hrs 58 mins,6 hrs 57 mins,
Monash Health,Local Hospital Network,Vic,,2019-20,2019,Not subsequently admitted patients,125411.0,reported,3 hrs 8 mins,7 hrs 38 mins,
Monash Health,Local Hospital Network,Vic,,2020-21,2020,Not subsequently admitted patients,119637.0,reported,3 hrs 2 mins,7 hrs 14 mins,
Monash Health,Local Hospital Network,Vic,,2021-22,2021,Not subsequently admitted patients,138513.0,reported,3 hrs 29 mins,8 hrs 9 mins,
Monash Health,Local Hospital Network,Vic,,2022-23,2022,Not subsequently admitted patients,151482.0,reported,3 hrs 41 mins,9 hrs 1 mins,
Monash Health,Local Hospital Network,Vic,,2023-24,2023,Not subsequently admitted patients,157377.0,reported,3 hrs 31 mins,8 hrs 31 mins,
Monash Health,Local Hospital Network,Vic,,2024-25,2024,Not subsequently admitted patients,164890.0,reported,3 hrs 34 mins,8 hrs 35 mins,
Monash Health,Local Hospital Network,Vic,,2018-19,2018,Subsequently admitted patients,98884.0,reported,4 hrs 28 mins,15 hrs 9 mins,
Monash Health,Local Hospital Network,Vic,,2019-20,2019,Subsequently admitted patients,91565.0,reported,4 hrs 37 mins,15 hrs 11 mins,
Monash Health,Local Hospital Network,Vic,,2020-21,2020,Subsequently admitted patients,99935.0,reported,4 hrs 12 mins,14 hrs 28 mins,
Monash Health,Local Hospital Network,Vic,,2021-22,2021,Subsequently admitted patients,99892.0,reported,5 hrs 23 mins,17 hrs 22 mins,
Monash Health,Local Hospital Network,Vic,,2022-23,2022,Subsequently admitted patients,95221.0,reported,6 hrs 19 mins,20 hrs 15 mins,
Monash Health,Local Hospital Network,Vic,,2023-24,2023,Subsequently admitted patients,103032.0,reported,5 hrs 53 mins,19 hrs 47 mins,
Monash Health,Local Hospital Network,Vic,,2024-25,2024,Subsequently admitted patients,106094.0,reported,5 hrs 58 mins,20 hrs 12 mins,
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2011-12,2011,All patients,70009.0,reported,3 hrs 15 mins,10 hrs 43 mins,9 hrs 53 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2012-13,2012,All patients,72446.0,reported,3 hrs 13 mins,11 hrs 38 mins,9 hrs 9 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2013-14,2013,All patients,78028.0,reported,2 hrs 38 mins,9 hrs 12 mins,8 hrs 11 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2014-15,2014,All patients,82570.0,reported,2 hrs 27 mins,8 hrs 52 mins,8 hrs 10 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2015-16,2015,All patients,85955.0,reported,2 hrs 44 mins,8 hrs 32 mins,7 hrs 57 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2016-17,2016,All patients,86516.0,reported,3 hrs 2 mins,9 hrs 23 mins,8 hrs 3 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2017-18,2017,All patients,89931.0,reported,3 hrs 31 mins,12 hrs 23 mins,8 hrs 14 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2018-19,2018,All patients,92905.0,reported,3 hrs 33 mins,12 hrs 2 mins,8 hrs 35 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2019-20,2019,All patients,87454.0,reported,3 hrs 41 mins,11 hrs 39 mins,8 hrs 26 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2020-21,2020,All patients,83852.0,reported,3 hrs 58 mins,13 hrs 38 mins,9 hrs 6 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2021-22,2021,All patients,95940.0,reported,4 hrs 24 mins,15 hrs 16 mins,10 hrs 16 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2022-23,2022,All patients,100580.0,reported,4 hrs 27 mins,18 hrs 6 mins,11 hrs 50 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2023-24,2023,All patients,101776.0,reported,4 hrs 11 mins,17 hrs 1 mins,12 hrs 5 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2024-25,2024,All patients,106909.0,reported,4 hrs 7 mins,17 hrs 57 mins,12 hrs 34 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2011-12,2011,Not subsequently admitted patients,34384.0,reported,2 hrs 20 mins,4 hrs 58 mins,6 hrs 34 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2012-13,2012,Not subsequently admitted patients,37749.0,reported,2 hrs 29 mins,5 hrs 44 mins,6 hrs 8 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2013-14,2013,Not subsequently admitted patients,38047.0,reported,2 hrs 6 mins,5 hrs 2 mins,5 hrs 31 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2014-15,2014,Not subsequently admitted patients,39619.0,reported,2 hrs 2 mins,4 hrs 43 mins,5 hrs 20 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2015-16,2015,Not subsequently admitted patients,40694.0,reported,2 hrs 20 mins,5 hrs 17 mins,5 hrs 25 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2016-17,2016,Not subsequently admitted patients,41965.0,reported,2 hrs 29 mins,5 hrs 55 mins,5 hrs 27 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2017-18,2017,Not subsequently admitted patients,46101.0,reported,2 hrs 47 mins,6 hrs 55 mins,5 hrs 40 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2018-19,2018,Not subsequently admitted patients,47488.0,reported,2 hrs 51 mins,7 hrs 7 mins,5 hrs 53 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2019-20,2019,Not subsequently admitted patients,48188.0,reported,3 hrs 0 mins,7 hrs 35 mins,5 hrs 56 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2020-21,2020,Not subsequently admitted patients,46801.0,reported,3 hrs 16 mins,7 hrs 57 mins,6 hrs 15 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2021-22,2021,Not subsequently admitted patients,56893.0,reported,3 hrs 37 mins,8 hrs 34 mins,7 hrs 2 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2022-23,2022,Not subsequently admitted patients,61541.0,reported,3 hrs 41 mins,9 hrs 18 mins,7 hrs 57 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2023-24,2023,Not subsequently admitted patients,60954.0,reported,3 hrs 29 mins,8 hrs 32 mins,8 hrs 11 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2024-25,2024,Not subsequently admitted patients,62314.0,reported,3 hrs 28 mins,8 hrs 31 mins,8 hrs 29 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2011-12,2011,Subsequently admitted patients,35625.0,reported,4 hrs 51 mins,15 hrs 40 mins,14 hrs 16 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2012-13,2012,Subsequently admitted patients,34697.0,reported,4 hrs 32 mins,17 hrs 4 mins,13 hrs 34 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2013-14,2013,Subsequently admitted patients,39981.0,reported,3 hrs 27 mins,14 hrs 0 mins,11 hrs 51 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2014-15,2014,Subsequently admitted patients,42951.0,reported,3 hrs 2 mins,14 hrs 41 mins,12 hrs 0 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2015-16,2015,Subsequently admitted patients,45261.0,reported,3 hrs 14 mins,13 hrs 19 mins,11 hrs 21 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2016-17,2016,Subsequently admitted patients,44551.0,reported,3 hrs 42 mins,14 hrs 4 mins,11 hrs 25 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2017-18,2017,Subsequently admitted patients,43830.0,reported,4 hrs 37 mins,17 hrs 46 mins,11 hrs 43 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2018-19,2018,Subsequently admitted patients,45417.0,reported,4 hrs 34 mins,17 hrs 46 mins,12 hrs 29 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2019-20,2019,Subsequently admitted patients,39266.0,reported,4 hrs 53 mins,17 hrs 6 mins,11 hrs 59 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2020-21,2020,Subsequently admitted patients,37051.0,reported,5 hrs 36 mins,18 hrs 47 mins,13 hrs 50 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2021-22,2021,Subsequently admitted patients,39047.0,reported,6 hrs 39 mins,20 hrs 36 mins,15 hrs 46 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2022-23,2022,Subsequently admitted patients,39039.0,reported,7 hrs 2 mins,22 hrs 58 mins,17 hrs 44 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2023-24,2023,Subsequently admitted patients,40822.0,reported,6 hrs 12 mins,22 hrs 29 mins,17 hrs 48 mins
Monash Medical Centre [Clayton],Hospital,Vic,Major hospitals,2024-25,2024,Subsequently admitted patients,44595.0,reported,6 hrs 5 mins,22 hrs 22 mins,18 hrs 19 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2011-12,2011,All patients,20834.0,reported,2 hrs 15 mins,6 hrs 58 mins,8 hrs 40 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2012-13,2012,All patients,20754.0,reported,2 hrs 40 mins,8 hrs 16 mins,8 hrs 7 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2013-14,2013,All patients,21558.0,reported,2 hrs 34 mins,6 hrs 56 mins,7 hrs 33 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2014-15,2014,All patients,22528.0,reported,2 hrs 18 mins,6 hrs 2 mins,7 hrs 17 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2015-16,2015,All patients,23377.0,reported,2 hrs 19 mins,5 hrs 25 mins,7 hrs 27 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2016-17,2016,All patients,24420.0,reported,2 hrs 23 mins,6 hrs 12 mins,7 hrs 35 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2017-18,2017,All patients,25489.0,reported,2 hrs 41 mins,6 hrs 44 mins,7 hrs 50 mins
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2018-19,2018,All patients,26579.0,reported,2 hrs 49 mins,6 hrs 56 mins,8 hrs 7 mins
Northeast Health Wangaratta,Local Hospital Network,Vic,,2018-19,2018,All patients,26579.0,reported,2 hrs 49 mins,6 hrs 56 mins,
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2019-20,2019,All patients,26864.0,reported,3 hrs 0 mins,8 hrs 51 mins,8 hrs 8 mins
Northeast Health Wangaratta,Local Hospital Network,Vic,,2019-20,2019,All patients,26864.0,reported,3 hrs 0 mins,8 hrs 51 mins,
Northeast Health Wangaratta,Hospital,Vic,Large regional hospitals,2020-21,2020,All patients,27480.0,reported,3 hrs 28 mins,10 hrs 47 mins,8 hrs 47 mins
