reporting_unit,reporting_unit_type,state,financial_year,year,triage_category,number_of_presentations,number_of_presentations_flag
Albury Wodonga Health [Albury Campus],Hospital,NSW,2024-25,2024,Semi-Urgent,14551.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011-12,2011,Urgent,10157.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012-13,2012,Urgent,10653.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013-14,2013,Urgent,10924.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014-15,2014,Urgent,12152.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015-16,2015,Urgent,12794.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016-17,2016,Urgent,12869.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017-18,2017,Urgent,12815.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018-19,2018,Urgent,12396.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019-20,2019,Urgent,13081.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020-21,2020,Urgent,13028.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021-22,2021,Urgent,14067.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2022-23,2022,Urgent,15046.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2023-24,2023,Urgent,15887.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2024-25,2024,Urgent,18407.0,reported
Armidale Hospital,Hospital,NSW,2011-12,2011,Emergency,790.0,reported
Armidale Hospital,Hospital,NSW,2012-13,2012,Emergency,954.0,reported
Armidale Hospital,Hospital,NSW,2013-14,2013,Emergency,916.0,reported
Armidale Hospital,Hospital,NSW,2014-15,2014,Emergency,885.0,reported
Armidale Hospital,Hospital,NSW,2015-16,2015,Emergency,882.0,reported
Armidale Hospital,Hospital,NSW,2016-17,2016,Emergency,954.0,reported
Armidale Hospital,Hospital,NSW,2017-18,2017,Emergency,933.0,reported
Armidale Hospital,Hospital,NSW,2018-19,2018,Emergency,817.0,reported
