reporting_unit,reporting_unit_type,state,financial_year,year,triage_category,number_of_presentations,number_of_presentations_flag
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2020-21,2020,Emergency,11.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2021-22,2021,Emergency,,suppressed_small_count
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2022-23,2022,Emergency,,suppressed_small_count
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2023-24,2023,Emergency,6.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2024-25,2024,Emergency,8.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2011-12,2011,Non-Urgent,50.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2012-13,2012,Non-Urgent,330.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2013-14,2013,Non-Urgent,324.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2014-15,2014,Non-Urgent,212.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2015-16,2015,Non-Urgent,297.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2016-17,2016,Non-Urgent,310.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2017-18,2017,Non-Urgent,207.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2018-19,2018,Non-Urgent,230.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2019-20,2019,Non-Urgent,165.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2020-21,2020,Non-Urgent,128.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2021-22,2021,Non-Urgent,82.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2022-23,2022,Non-Urgent,66.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2023-24,2023,Non-Urgent,132.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2024-25,2024,Non-Urgent,129.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2011-12,2011,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2012-13,2012,Resuscitation,,suppressed_small_count
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2013-14,2013,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2014-15,2014,Resuscitation,,suppressed_small_count
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2015-16,2015,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2016-17,2016,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2017-18,2017,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2018-19,2018,Resuscitation,,suppressed_small_count
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2019-20,2019,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2020-21,2020,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2021-22,2021,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2022-23,2022,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2023-24,2023,Resuscitation,0.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2024-25,2024,Resuscitation,,suppressed_small_count
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2011-12,2011,Semi-Urgent,119.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2012-13,2012,Semi-Urgent,140.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2013-14,2013,Semi-Urgent,102.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2014-15,2014,Semi-Urgent,71.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2015-16,2015,Semi-Urgent,109.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2016-17,2016,Semi-Urgent,98.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2017-18,2017,Semi-Urgent,57.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2018-19,2018,Semi-Urgent,42.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2019-20,2019,Semi-Urgent,33.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2020-21,2020,Semi-Urgent,22.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2021-22,2021,Semi-Urgent,20.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2022-23,2022,Semi-Urgent,15.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2023-24,2023,Semi-Urgent,52.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2024-25,2024,Semi-Urgent,71.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2011-12,2011,Urgent,60.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2012-13,2012,Urgent,70.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2013-14,2013,Urgent,38.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2014-15,2014,Urgent,32.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2015-16,2015,Urgent,49.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2016-17,2016,Urgent,38.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2017-18,2017,Urgent,18.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2018-19,2018,Urgent,26.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2019-20,2019,Urgent,18.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2020-21,2020,Urgent,14.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2021-22,2021,Urgent,7.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2022-23,2022,Urgent,13.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2023-24,2023,Urgent,28.0,reported
Vegetable Creek Multi Purpose Service Emmaville,Hospital,NSW,2024-25,2024,Urgent,25.0,reported
Wagga Wagga Hospital,Hospital,NSW,2011-12,2011,Emergency,2555.0,reported
Wagga Wagga Hospital,Hospital,NSW,2012-13,2012,Emergency,2503.0,reported
Wagga Wagga Hospital,Hospital,NSW,2013-14,2013,Emergency,2740.0,reported
Wagga Wagga Hospital,Hospital,NSW,2014-15,2014,Emergency,2721.0,reported
Wagga Wagga Hospital,Hospital,NSW,2015-16,2015,Emergency,3234.0,reported
Wagga Wagga Hospital,Hospital,NSW,2016-17,2016,Emergency,2929.0,reported
Wagga Wagga Hospital,Hospital,NSW,2017-18,2017,Emergency,3468.0,reported
Wagga Wagga Hospital,Hospital,NSW,2018-19,2018,Emergency,4355.0,reported
Wagga Wagga Hospital,Hospital,NSW,2019-20,2019,Emergency,4693.0,reported
Wagga Wagga Hospital,Hospital,NSW,2020-21,2020,Emergency,4678.0,reported
Wagga Wagga Hospital,Hospital,NSW,2021-22,2021,Emergency,3831.0,reported
Wagga Wagga Hospital,Hospital,NSW,2022-23,2022,Emergency,4516.0,reported
Wagga Wagga Hospital,Hospital,NSW,2023-24,2023,Emergency,4751.0,reported
Wagga Wagga Hospital,Hospital,NSW,2024-25,2024,Emergency,5562.0,reported
Wagga Wagga Hospital,Hospital,NSW,2011-12,2011,Non-Urgent,3935.0,reported
Wagga Wagga Hospital,Hospital,NSW,2012-13,2012,Non-Urgent,3673.0,reported
Wagga Wagga Hospital,Hospital,NSW,2013-14,2013,Non-Urgent,2353.0,reported
Wagga Wagga Hospital,Hospital,NSW,2014-15,2014,Non-Urgent,2977.0,reported
Wagga Wagga Hospital,Hospital,NSW,2015-16,2015,Non-Urgent,3243.0,reported
Wagga Wagga Hospital,Hospital,NSW,2016-17,2016,Non-Urgent,3995.0,reported
Wagga Wagga Hospital,Hospital,NSW,2017-18,2017,Non-Urgent,5228.0,reported
Wagga Wagga Hospital,Hospital,NSW,2018-19,2018,Non-Urgent,5347.0,reported
Wagga Wagga Hospital,Hospital,NSW,2019-20,2019,Non-Urgent,5490.0,reported
Wagga Wagga Hospital,Hospital,NSW,2020-21,2020,Non-Urgent,5876.0,reported
Wagga Wagga Hospital,Hospital,NSW,2021-22,2021,Non-Urgent,5453.0,reported
Wagga Wagga Hospital,Hospital,NSW,2022-23,2022,Non-Urgent,4063.0,reported
Wagga Wagga Hospital,Hospital,NSW,2023-24,2023,Non-Urgent,3381.0,reported
Wagga Wagga Hospital,Hospital,NSW,2024-25,2024,Non-Urgent,3359.0,reported
Wagga Wagga Hospital,Hospital,NSW,2011-12,2011,Resuscitation,218.0,reported
Wagga Wagga Hospital,Hospital,NSW,2012-13,2012,Resuscitation,182.0,reported
Wagga Wagga Hospital,Hospital,NSW,2013-14,2013,Resuscitation,184.0,reported
Wagga Wagga Hospital,Hospital,NSW,2014-15,2014,Resuscitation,158.0,reported
Wagga Wagga Hospital,Hospital,NSW,2015-16,2015,Resuscitation,159.0,reported
Wagga Wagga Hospital,Hospital,NSW,2016-17,2016,Resuscitation,151.0,reported
Wagga Wagga Hospital,Hospital,NSW,2017-18,2017,Resuscitation,145.0,reported
Wagga Wagga Hospital,Hospital,NSW,2018-19,2018,Resuscitation,138.0,reported
Wagga Wagga Hospital,Hospital,NSW,2019-20,2019,Resuscitation,147.0,reported
Wagga Wagga Hospital,Hospital,NSW,2020-21,2020,Resuscitation,161.0,reported
Wagga Wagga Hospital,Hospital,NSW,2021-22,2021,Resuscitation,158.0,reported
Wagga Wagga Hospital,Hospital,NSW,2022-23,2022,Resuscitation,155.0,reported
Wagga Wagga Hospital,Hospital,NSW,2023-24,2023,Resuscitation,149.0,reported
Wagga Wagga Hospital,Hospital,NSW,2024-25,2024,Resuscitation,167.0,reported
Wagga Wagga Hospital,Hospital,NSW,2011-12,2011,Semi-Urgent,15396.0,reported
Wagga Wagga Hospital,Hospital,NSW,2012-13,2012,Semi-Urgent,15889.0,reported
Wagga Wagga Hospital,Hospital,NSW,2013-14,2013,Semi-Urgent,14968.0,reported
Wagga Wagga Hospital,Hospital,NSW,2014-15,2014,Semi-Urgent,15486.0,reported
Wagga Wagga Hospital,Hospital,NSW,2015-16,2015,Semi-Urgent,16645.0,reported
Wagga Wagga Hospital,Hospital,NSW,2016-17,2016,Semi-Urgent,15786.0,reported
Wagga Wagga Hospital,Hospital,NSW,2017-18,2017,Semi-Urgent,16188.0,reported
Wagga Wagga Hospital,Hospital,NSW,2018-19,2018,Semi-Urgent,17212.0,reported
Wagga Wagga Hospital,Hospital,NSW,2019-20,2019,Semi-Urgent,16281.0,reported
Wagga Wagga Hospital,Hospital,NSW,2020-21,2020,Semi-Urgent,16772.0,reported
Wagga Wagga Hospital,Hospital,NSW,2021-22,2021,Semi-Urgent,17015.0,reported
Wagga Wagga Hospital,Hospital,NSW,2022-23,2022,Semi-Urgent,17112.0,reported
Wagga Wagga Hospital,Hospital,NSW,2023-24,2023,Semi-Urgent,17607.0,reported
Wagga Wagga Hospital,Hospital,NSW,2024-25,2024,Semi-Urgent,17167.0,reported
Wagga Wagga Hospital,Hospital,NSW,2011-12,2011,Urgent,11966.0,reported
Wagga Wagga Hospital,Hospital,NSW,2012-13,2012,Urgent,12700.0,reported
Wagga Wagga Hospital,Hospital,NSW,2013-14,2013,Urgent,15444.0,reported
Wagga Wagga Hospital,Hospital,NSW,2014-15,2014,Urgent,15120.0,reported
Wagga Wagga Hospital,Hospital,NSW,2015-16,2015,Urgent,16135.0,reported
Wagga Wagga Hospital,Hospital,NSW,2016-17,2016,Urgent,16881.0,reported
Wagga Wagga Hospital,Hospital,NSW,2017-18,2017,Urgent,17041.0,reported
Wagga Wagga Hospital,Hospital,NSW,2018-19,2018,Urgent,18790.0,reported
Wagga Wagga Hospital,Hospital,NSW,2019-20,2019,Urgent,18284.0,reported
Wagga Wagga Hospital,Hospital,NSW,2020-21,2020,Urgent,18610.0,reported
Wagga Wagga Hospital,Hospital,NSW,2021-22,2021,Urgent,19029.0,reported
Wagga Wagga Hospital,Hospital,NSW,2022-23,2022,Urgent,20968.0,reported
Wagga Wagga Hospital,Hospital,NSW,2023-24,2023,Urgent,22345.0,reported
Wagga Wagga Hospital,Hospital,NSW,2024-25,2024,Urgent,21783.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2011-12,2011,Emergency,74.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2012-13,2012,Emergency,68.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2013-14,2013,Emergency,63.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2014-15,2014,Emergency,67.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2015-16,2015,Emergency,53.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2016-17,2016,Emergency,59.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2017-18,2017,Emergency,97.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2018-19,2018,Emergency,89.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2019-20,2019,Emergency,108.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2020-21,2020,Emergency,88.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2021-22,2021,Emergency,114.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2022-23,2022,Emergency,65.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2023-24,2023,Emergency,116.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2024-25,2024,Emergency,189.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2011-12,2011,Non-Urgent,165.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2012-13,2012,Non-Urgent,281.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2013-14,2013,Non-Urgent,481.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2014-15,2014,Non-Urgent,508.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2015-16,2015,Non-Urgent,420.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2016-17,2016,Non-Urgent,384.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2017-18,2017,Non-Urgent,341.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2018-19,2018,Non-Urgent,246.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2019-20,2019,Non-Urgent,298.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2020-21,2020,Non-Urgent,265.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2021-22,2021,Non-Urgent,275.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2022-23,2022,Non-Urgent,213.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2023-24,2023,Non-Urgent,234.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2024-25,2024,Non-Urgent,219.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2011-12,2011,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2012-13,2012,Resuscitation,0.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2013-14,2013,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2014-15,2014,Resuscitation,0.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2015-16,2015,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2016-17,2016,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2017-18,2017,Resuscitation,0.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2018-19,2018,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2019-20,2019,Resuscitation,8.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2020-21,2020,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2021-22,2021,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2022-23,2022,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2023-24,2023,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2024-25,2024,Resuscitation,,suppressed_small_count
Walcha Multi Purpose Service,Hospital,NSW,2011-12,2011,Semi-Urgent,1092.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2012-13,2012,Semi-Urgent,1370.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2013-14,2013,Semi-Urgent,1268.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2014-15,2014,Semi-Urgent,1014.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2015-16,2015,Semi-Urgent,978.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2016-17,2016,Semi-Urgent,798.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2017-18,2017,Semi-Urgent,838.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2018-19,2018,Semi-Urgent,625.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2019-20,2019,Semi-Urgent,494.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2020-21,2020,Semi-Urgent,420.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2021-22,2021,Semi-Urgent,409.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2022-23,2022,Semi-Urgent,403.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2023-24,2023,Semi-Urgent,400.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2024-25,2024,Semi-Urgent,381.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2011-12,2011,Urgent,184.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2012-13,2012,Urgent,221.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2013-14,2013,Urgent,199.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2014-15,2014,Urgent,184.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2015-16,2015,Urgent,174.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2016-17,2016,Urgent,177.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2017-18,2017,Urgent,277.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2018-19,2018,Urgent,327.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2019-20,2019,Urgent,336.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2020-21,2020,Urgent,300.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2021-22,2021,Urgent,298.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2022-23,2022,Urgent,255.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2023-24,2023,Urgent,248.0,reported
Walcha Multi Purpose Service,Hospital,NSW,2024-25,2024,Urgent,370.0,reported
Walgett Multipurpose Service,Hospital,NSW,2013-14,2013,Emergency,103.0,reported
Walgett Multipurpose Service,Hospital,NSW,2014-15,2014,Emergency,152.0,reported
Walgett Multipurpose Service,Hospital,NSW,2015-16,2015,Emergency,145.0,reported
Walgett Multipurpose Service,Hospital,NSW,2016-17,2016,Emergency,202.0,reported
Walgett Multipurpose Service,Hospital,NSW,2017-18,2017,Emergency,208.0,reported
Walgett Multipurpose Service,Hospital,NSW,2018-19,2018,Emergency,264.0,reported
Walgett Multipurpose Service,Hospital,NSW,2019-20,2019,Emergency,276.0,reported
Walgett Multipurpose Service,Hospital,NSW,2020-21,2020,Emergency,299.0,reported
Walgett Multipurpose Service,Hospital,NSW,2021-22,2021,Emergency,350.0,reported
Walgett Multipurpose Service,Hospital,NSW,2022-23,2022,Emergency,434.0,reported
Walgett Multipurpose Service,Hospital,NSW,2023-24,2023,Emergency,424.0,reported
Walgett Multipurpose Service,Hospital,NSW,2024-25,2024,Emergency,539.0,reported
Walgett Multipurpose Service,Hospital,NSW,2013-14,2013,Non-Urgent,645.0,reported
Walgett Multipurpose Service,Hospital,NSW,2014-15,2014,Non-Urgent,906.0,reported
Walgett Multipurpose Service,Hospital,NSW,2015-16,2015,Non-Urgent,1187.0,reported
Walgett Multipurpose Service,Hospital,NSW,2016-17,2016,Non-Urgent,981.0,reported
Walgett Multipurpose Service,Hospital,NSW,2017-18,2017,Non-Urgent,1083.0,reported
Walgett Multipurpose Service,Hospital,NSW,2018-19,2018,Non-Urgent,1038.0,reported
Walgett Multipurpose Service,Hospital,NSW,2019-20,2019,Non-Urgent,779.0,reported
Walgett Multipurpose Service,Hospital,NSW,2020-21,2020,Non-Urgent,528.0,reported
Walgett Multipurpose Service,Hospital,NSW,2021-22,2021,Non-Urgent,650.0,reported
Walgett Multipurpose Service,Hospital,NSW,2022-23,2022,Non-Urgent,866.0,reported
Walgett Multipurpose Service,Hospital,NSW,2023-24,2023,Non-Urgent,636.0,reported
Walgett Multipurpose Service,Hospital,NSW,2024-25,2024,Non-Urgent,546.0,reported
Walgett Multipurpose Service,Hospital,NSW,2013-14,2013,Resuscitation,,suppressed_small_count
Walgett Multipurpose Service,Hospital,NSW,2014-15,2014,Resuscitation,7.0,reported
Walgett Multipurpose Service,Hospital,NSW,2015-16,2015,Resuscitation,,suppressed_small_count
Walgett Multipurpose Service,Hospital,NSW,2016-17,2016,Resuscitation,,suppressed_small_count
Walgett Multipurpose Service,Hospital,NSW,2017-18,2017,Resuscitation,7.0,reported
Walgett Multipurpose Service,Hospital,NSW,2018-19,2018,Resuscitation,9.0,reported
Walgett Multipurpose Service,Hospital,NSW,2019-20,2019,Resuscitation,6.0,reported
Walgett Multipurpose Service,Hospital,NSW,2020-21,2020,Resuscitation,5.0,reported
Walgett Multipurpose Service,Hospital,NSW,2021-22,2021,Resuscitation,11.0,reported
Walgett Multipurpose Service,Hospital,NSW,2022-23,2022,Resuscitation,10.0,reported
Walgett Multipurpose Service,Hospital,NSW,2023-24,2023,Resuscitation,16.0,reported
Walgett Multipurpose Service,Hospital,NSW,2024-25,2024,Resuscitation,15.0,reported
Walgett Multipurpose Service,Hospital,NSW,2013-14,2013,Semi-Urgent,1242.0,reported
Walgett Multipurpose Service,Hospital,NSW,2014-15,2014,Semi-Urgent,1347.0,reported
Walgett Multipurpose Service,Hospital,NSW,2015-16,2015,Semi-Urgent,1217.0,reported
Walgett Multipurpose Service,Hospital,NSW,2016-17,2016,Semi-Urgent,1315.0,reported
Walgett Multipurpose Service,Hospital,NSW,2017-18,2017,Semi-Urgent,1111.0,reported
Walgett Multipurpose Service,Hospital,NSW,2018-19,2018,Semi-Urgent,958.0,reported
Walgett Multipurpose Service,Hospital,NSW,2019-20,2019,Semi-Urgent,1202.0,reported
Walgett Multipurpose Service,Hospital,NSW,2020-21,2020,Semi-Urgent,1415.0,reported
Walgett Multipurpose Service,Hospital,NSW,2021-22,2021,Semi-Urgent,1145.0,reported
Walgett Multipurpose Service,Hospital,NSW,2022-23,2022,Semi-Urgent,1145.0,reported
Walgett Multipurpose Service,Hospital,NSW,2023-24,2023,Semi-Urgent,1243.0,reported
Walgett Multipurpose Service,Hospital,NSW,2024-25,2024,Semi-Urgent,1192.0,reported
Walgett Multipurpose Service,Hospital,NSW,2013-14,2013,Urgent,627.0,reported
Walgett Multipurpose Service,Hospital,NSW,2014-15,2014,Urgent,848.0,reported
Walgett Multipurpose Service,Hospital,NSW,2015-16,2015,Urgent,723.0,reported
Walgett Multipurpose Service,Hospital,NSW,2016-17,2016,Urgent,706.0,reported
Walgett Multipurpose Service,Hospital,NSW,2017-18,2017,Urgent,673.0,reported
Walgett Multipurpose Service,Hospital,NSW,2018-19,2018,Urgent,646.0,reported
Walgett Multipurpose Service,Hospital,NSW,2019-20,2019,Urgent,714.0,reported
Walgett Multipurpose Service,Hospital,NSW,2020-21,2020,Urgent,665.0,reported
Walgett Multipurpose Service,Hospital,NSW,2021-22,2021,Urgent,733.0,reported
Walgett Multipurpose Service,Hospital,NSW,2022-23,2022,Urgent,772.0,reported
Walgett Multipurpose Service,Hospital,NSW,2023-24,2023,Urgent,827.0,reported
Walgett Multipurpose Service,Hospital,NSW,2024-25,2024,Urgent,978.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2011-12,2011,Emergency,23.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2012-13,2012,Emergency,30.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2013-14,2013,Emergency,26.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2014-15,2014,Emergency,36.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2015-16,2015,Emergency,39.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2016-17,2016,Emergency,55.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2017-18,2017,Emergency,67.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2018-19,2018,Emergency,50.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2019-20,2019,Emergency,53.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2020-21,2020,Emergency,18.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2021-22,2021,Emergency,27.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2022-23,2022,Emergency,54.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2023-24,2023,Emergency,48.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2024-25,2024,Emergency,93.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2011-12,2011,Non-Urgent,751.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2012-13,2012,Non-Urgent,1046.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2013-14,2013,Non-Urgent,1003.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2014-15,2014,Non-Urgent,1089.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2015-16,2015,Non-Urgent,1148.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2016-17,2016,Non-Urgent,715.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2017-18,2017,Non-Urgent,506.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2018-19,2018,Non-Urgent,305.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2019-20,2019,Non-Urgent,346.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2020-21,2020,Non-Urgent,485.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2021-22,2021,Non-Urgent,1369.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2022-23,2022,Non-Urgent,508.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2023-24,2023,Non-Urgent,514.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2024-25,2024,Non-Urgent,604.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2011-12,2011,Resuscitation,,suppressed_small_count
Warialda Multi Purpose Service,Hospital,NSW,2012-13,2012,Resuscitation,,suppressed_small_count
Warialda Multi Purpose Service,Hospital,NSW,2013-14,2013,Resuscitation,,suppressed_small_count
Warialda Multi Purpose Service,Hospital,NSW,2014-15,2014,Resuscitation,,suppressed_small_count
Warialda Multi Purpose Service,Hospital,NSW,2015-16,2015,Resuscitation,0.0,reported
Warialda Multi Purpose Service,Hospital,NSW,2016-17,2016,Resuscitation,,suppressed_small_count
Warialda Multi Purpose Service,Hospital,NSW,2017-18,2017,Resuscitation,,suppressed_small_count
Warialda Multi Purpose Service,Hospital,NSW,2018-19,2018,Resuscitation,,suppressed_small_count
Warialda Multi Purpose Service,Hospital,NSW,2019-20,2019,Resuscitation,5.0,reported
